"34","ok","Carl Gustav Jung","Ilustrrasi Kaos Jung.jpg","2018-12-11 06:32:23"
"35","ok","Charlotte Bronte","Quote of the week 65.jpg","2018-12-18 07:10:29"
"36","ok","Rollo May","Quote of the week 52b.jpg","2018-12-27 04:22:58"
"38","ok","Maya Angelou","Quote of the week 1.jpg","2019-01-02 09:16:42"
"40","ok","Elisabeth Kubler-Ross","Quotes 3 2019.jpg","2019-01-14 07:17:30"
"41","ok","Queen Elizabeth II","Quotes 1 2019.jpg","2019-01-24 04:50:20"
"42","ok","George Burns","Quote of the week 13.jpg","2019-03-27 13:53:14"
"44","ok","David Kessler","Quote 4 2019.jpg","2019-04-02 19:12:20"
"45","ok","Stephen Covey","quote of the week 10 2019.jpg","2019-04-08 06:37:56"
"46","ok","Albert Einstein","alberteinstein1-2x.jpg","2019-04-16 06:59:13"
"48","ok","Abdullah Inji","Presentation1.jpg","2019-04-27 03:55:50"
"49","ok","Carl Jung","Quote of the week 60.jpg","2019-06-04 11:30:28"
"50","ok","Richard Clarke Cabot","Quote of the week 51.jpg","2019-06-10 03:04:25"
"51","ok","Carol Burnett","Quote of the week 46.jpg","2019-06-18 03:03:39"
"52","ok","George Burns","Quote of the week 13.jpg","2019-06-28 04:07:01"
"54","ok","Frederick Salomon Perls (Fritz Perls)","Quote of the week 12019.jpg","2019-07-04 04:44:59"
"55","ok","Francis of Assisi","quote of the week 8 2019.jpg","2019-07-07 16:46:00"
"57","ok","Frederick Salomon Perls (Fritz Perls)","Quote of the week 22019.jpg","2019-07-24 05:32:37"
"58","ok","Walter Bagehot","Quote of the week 47.jpg","2019-07-29 04:50:21"
